#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU1	GSL|100.0|MK402142|SH1883563.08FU;k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis,s:Umbelopsis dimorpha	k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis	k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis,s:Umbelopsis dimorpha	No hit
OTU8273	SS|0.9700|KF291096|SH1181066.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae,g:Cuphophyllus,s:Cuphophyllus acutoides	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
OTU8274	SS|0.9500|KF577824|SH1211742.08FU;k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa,o:Thaumatomonadida,f:Thaumatomastigidae,g:Thaumatomonas	k:Rhizaria,p:Cercozoa	No hit
OTU8275	GS|99.1|KY305083|SH1548020.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Cephalothecaceae,g:Phialemonium,s:Phialemonium inflatum	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Cephalothecaceae,g:Phialemonium,s:Phialemonium inflatum	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	No hit
OTU8276	SS|1.0000|KY774249|SH1171841.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Boletaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Boletaceae,g:Phylloporus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Boletaceae	No hit
OTU8277	GS|100.0|MN634418|SH1635781.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala,s:Exophiala pisciphila	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala,s:Exophiala pisciphila	k:Fungi	No hit
OTU8278	GS|84.7|KJ173576|SH1560791.08FU;k:Fungi	k:Fungi	No hit	No hit
OTU8279	SS|0.8900|JX043025|SH1564438.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Leohumicola	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Leohumicola	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Leohumicola	No hit
OTU8280	SS|1.0000|KU727191|SH1528427.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae	No hit
OTU8281	SS|0.9400|HG513102|SH2589005.08FU;k:Fungi	k:Fungi	k:Fungi	No hit
OTU8282	SS|0.8700|MH221064|SH3233207.08FU;k:Fungi,p:Ascomycota,c:Orbiliomycetes	k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales,f:Orbiliaceae,g:Orbilia	k:Fungi,p:Ascomycota,c:Orbiliomycetes	No hit
OTU8283	GS|85.5|KP192647|SH1651275.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Lyophyllaceae,g:Tephrocybe,s:Tephrocybe striipilea	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Lyophyllaceae,g:Tephrocybe,s:Tephrocybe striipilea	No hit	No hit
OTU8284	SS|0.9000|UDB016695|SH1528630.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella	No hit
OTU8285	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8286	GS|99.1|MW216130|SH1564497.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	No hit
OTU8287	GS|77.8|MT528134|SH3567743.08FU;k:Fungi	k:Fungi	No hit	No hit
OTU8288	GS|74.5|MW214964|SH3568807.08FU;k:Fungi	k:Fungi	No hit	No hit
OTU8289	GS|93.2|MT366684|SH3566545.08FU;k:Fungi,p:Glomeromycota	k:Fungi,p:Glomeromycota	No hit	No hit
OTU8290	GS|70.0|KF296883|SH1156412.08FU;k:Fungi,p:Rozellomycota	k:Fungi,p:Rozellomycota	No hit	No hit
OTU8291	SS|0.8900|UDB014792|SH1555939.08FU;k:Fungi	k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes	k:Fungi	No hit
OTU8292	GS|79.7|HQ888731|SH1176471.08FU;k:Fungi,p:Blastocladiomycota,c:Blastocladiomycetes,o:Blastocladiales,f:Catenariaceae,g:Catenaria	k:Fungi,p:Blastocladiomycota,c:Blastocladiomycetes,o:Blastocladiales,f:Catenariaceae,g:Catenaria	No hit	No hit
OTU8293	SS|0.9300|MT236614|SH1509697.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	No hit
OTU8294	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8295	SS|0.9700|MN294896|SH1574441.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Clitopilus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
OTU8296	GS|97.7|KJ482671|SH1547975.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Serendipitaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Serendipitaceae	k:Fungi	No hit
OTU8297	GS|71.4|JQ666741|SH1659665.08FU;k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales	k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales	No hit	No hit
OTU8298	SS|1.0000|GU174316|SH1144683.08FU;k:Fungi	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,g:Phlogicylindrium	k:Fungi	No hit
OTU8299	SS|0.9600|HM562113|SH1604562.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Pluteaceae,g:Pluteus,s:Pluteus saupei	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Pluteaceae,g:Pluteus,s:Pluteus saupei	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Pluteaceae,g:Pluteus,s:Pluteus saupei	No hit
OTU8300	SS|0.9100|MN065480|SH1565552.08FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,g:Libertella	k:Fungi,p:Ascomycota	No hit
OTU8301	GS|86.2|KF297260|SH1244383.08FU;k:Fungi,p:Rozellomycota	k:Fungi,p:Rozellomycota	No hit	No hit
OTU8302	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8303	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8304	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8305	SS|0.9300|KF977206|SH1562220.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe,s:Inocybe meridionalis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe,s:Inocybe meridionalis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe,s:Inocybe meridionalis	No hit
OTU8306	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8307	SS|0.9400|KP889623|SH1239255.08FU;k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa	No hit
OTU8308	GS|73.4|UDB0216789|SH3339582.08FU;k:Fungi	k:Fungi	No hit	No hit
OTU8309	SS|1.0000|KF953545|SH1213271.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Melanophyllum,s:Melanophyllum haematospermum	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
OTU8310	SS|0.8900|MT055952|SH2741583.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavulinopsis,s:Clavulinopsis corniculata	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae	No hit
OTU8312	GS|98.0|JX135083|SH1563831.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Bolbitiaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Bolbitiaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
OTU8313	SS|0.9300|UDB0327547|SH2722959.08FU;k:Fungi,p:Basidiomycota	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales	k:Fungi,p:Basidiomycota	No hit
OTU8314	GSL|100.0|UDB035417|SH1573369.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae	No hit
OTU8315	GS|90.1|HM069393|SH1571336.08FU;k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	No hit	No hit
OTU8316	GS|100.0|KP191844|SH1514074.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Bolbitiaceae,g:Timgrovea	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Bolbitiaceae,g:Timgrovea	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Bolbitiaceae,g:Timgrovea	No hit
OTU8317	SS|1.0000|HM240220|SH1655414.08FU;k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	No hit
OTU8318	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8320	SS|0.9700|KF251210|SH1554294.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Querciphoma	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	No hit
OTU8321	SS|0.9700|UDB0740256|SH2750311.08FU;k:Fungi,p:Chytridiomycota,c:Synchytriomycetes,o:Synchytriales	k:Fungi,p:Chytridiomycota,c:Synchytriomycetes,o:Synchytriales	k:Fungi,p:Chytridiomycota,c:Synchytriomycetes,o:Synchytriales	No hit
OTU8322	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8323	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8324	SS|0.9800|HM239830|SH1240069.08FU;k:Fungi	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi	No hit
OTU8325	GS|97.0|HQ022098|SH1565808.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	No hit
OTU8326	GS|87.8|MW216150|SH3568667.08FU;k:Fungi	k:Fungi	No hit	No hit
OTU8327	SS|0.8400|UDB0586465|SH1505630.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe	k:Fungi,p:Ascomycota,c:Sordariomycetes	No hit
OTU8328	SS|0.9700|JX043199|SH1246349.08FU;k:Fungi,p:Chytridiomycota,c:Spizellomycetes,o:Spizellomycetales,f:Spizellomycetaceae,g:Spizellomyces	k:Fungi,p:Chytridiomycota,c:Spizellomycetes,o:Spizellomycetales,f:Spizellomycetaceae,g:Spizellomyces	k:Fungi,p:Chytridiomycota,c:Spizellomycetes,o:Spizellomycetales,f:Spizellomycetaceae,g:Spizellomyces	No hit
OTU8329	GS|97.3|KF412378|SH1517990.08FU;k:Fungi	k:Fungi	k:Fungi	No hit
OTU8330	SS|0.9700|UDB0210837|SH2726763.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae	No hit
OTU8331	GS|83.0|AB986412|SH1529597.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora	No hit	No hit
OTU8332	GS|71.5|UDB0708156|SH3323874.08FU;k:Fungi,p:Rozellomycota	k:Fungi,p:Rozellomycota	No hit	No hit
OTU8333	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8334	GS|70.9|KC965562|SH1174284.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	No hit	No hit
OTU8335	GS|78.6|KU534746|SH1654713.08FU;k:Fungi,p:Rozellomycota	k:Fungi,p:Rozellomycota	No hit	No hit
OTU8336	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8337	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8338	GS|97.4|UDB0248679|SH2733879.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Tetragoniomycetaceae	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Tetragoniomycetaceae	k:Fungi,p:Basidiomycota,c:Tremellomycetes	No hit
OTU8339	SS|0.8900|KF156313|SH1565481.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Myxotrichaceae,g:Oidiodendron,s:Oidiodendron rhodogenum	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	No hit
OTU8340	SS|0.9300|KU195594|SH1646791.08FU;k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	k:Fungi,p:Ascomycota,c:Archaeorhizomycetes	k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces	No hit
OTU8341	GS|97.7|UDB028520|SH1540358.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Phaeohelotium	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Phaeohelotium	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Phaeohelotium	No hit
OTU8342	GS|98.4|MG553037|SH1505983.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	No hit
OTU8343	GS|97.9|MH986821|SH1575244.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala,s:Exophiala xenobiotica	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala,s:Exophiala xenobiotica	k:Fungi	No hit
OTU8344	SS|1.0000|HM141052|SH1151184.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes	No hit
OTU8345	GS|100.0|JX042791|SH1182348.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae,g:Funneliformis	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae,g:Funneliformis	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae,g:Funneliformis	No hit
OTU8346	SS|1.0000|GQ921788|SH1247345.08FU;k:Fungi,p:Chytridiomycota	k:Fungi,p:Chytridiomycota	k:Fungi,p:Chytridiomycota	No hit
OTU8347	GS|100.0|UDB0551366|SH2742456.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Pseudeurotiaceae,g:Pseudeurotium	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Pseudeurotiaceae,g:Pseudeurotium	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Pseudeurotiaceae,g:Pseudeurotium	No hit
OTU8348	SS|0.9400|GQ921735|SH1231853.08FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi,p:Ascomycota	No hit
OTU8349	SS|1.0000|KY687722|SH1643924.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Bankeraceae,g:Phellodon	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Bankeraceae,g:Phellodon	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Bankeraceae,g:Phellodon	No hit
OTU8350	SS|0.9300|HM562210|SH1155462.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Pluteaceae,g:Volvariella	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Pluteaceae,g:Volvariella,s:Volvariella taylorii	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Pluteaceae,g:Volvariella	No hit
OTU8351	GS|87.5|KY774250|SH1151663.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Gomphales,f:Gomphaceae,g:Ramaria	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Gomphales,f:Gomphaceae,g:Ramaria	No hit	No hit
OTU8352	SS|0.9800|UDB0398302|SH3327762.08FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales	k:Fungi,p:Ascomycota	No hit
OTU8353	SS|0.8700|HM164579|SH1645210.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta	k:Fungi,p:Ascomycota,c:Sordariomycetes	No hit
OTU8354	SS|0.9800|AB926056|SH1570093.08FU;k:Fungi	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Sclerotiniaceae,g:Ciboria,s:Ciboria batschiana	k:Fungi	No hit
OTU8355	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8356	SS|0.9600|HQ634631|SH1247357.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	No hit
OTU8357	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8358	GS|97.4|JF690999|SH1243182.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala	No hit
OTU8359	GS|84.1|KF617761|SH1654517.08FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales	No hit	No hit
OTU8360	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8361	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8362	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8363	GS|85.1|AB926110|SH2703256.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Hymenoscyphus	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Hymenoscyphus	No hit	No hit
OTU8364	GS|73.9|MW215996|SH3317566.08FU;k:Fungi	k:Fungi	No hit	No hit
OTU8365	GS|78.7|MW215176|SH3348268.08FU;k:Fungi	k:Fungi	No hit	No hit
OTU8366	GS|97.6|KP119473|SH1564438.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	No hit
OTU8367	GS|78.7|JX456672|SH1561361.08FU;k:Fungi	k:Fungi	No hit	No hit
OTU8368	GS|98.5|UDB014878|SH1512811.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes	k:Fungi,p:Ascomycota,c:Eurotiomycetes	k:Fungi,p:Ascomycota,c:Eurotiomycetes	No hit
OTU8369	GS|81.6|AB617740|SH1546764.08FU;k:Fungi,p:Calcarisporiellomycota,c:Calcarisporiellomycetes,o:Calcarisporiellales,f:Calcarisporiellaceae,g:Calcarisporiella	k:Fungi,p:Calcarisporiellomycota,c:Calcarisporiellomycetes,o:Calcarisporiellales,f:Calcarisporiellaceae,g:Calcarisporiella	No hit	No hit
OTU8370	SS|0.9600|UDB014810|SH1539678.08FU;k:Fungi,p:Mucoromycota,c:Endogonomycetes	k:Fungi,p:Mucoromycota,c:Endogonomycetes	k:Fungi,p:Mucoromycota,c:Endogonomycetes	No hit
OTU8371	SS|0.9200|MT730933|SH1514622.08FU;k:Fungi,p:Chytridiomycota,c:Rhizophlyctidomycetes,o:Rhizophlyctidales,f:Rhizophlyctidaceae,g:Rhizophlyctis	k:Fungi,p:Chytridiomycota,c:Rhizophlyctidomycetes,o:Rhizophlyctidales,f:Rhizophlyctidaceae,g:Rhizophlyctis,s:Rhizophlyctis rosea	k:Fungi,p:Chytridiomycota,c:Rhizophlyctidomycetes,o:Rhizophlyctidales,f:Rhizophlyctidaceae,g:Rhizophlyctis	No hit
OTU8372	SS|1.0000|MT644292|SH2735557.08FU;k:Fungi	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora	k:Fungi	No hit
OTU8373	GS|98.8|MK810920|SH1514004.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Sympoventuriaceae,g:Sympoventuria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Sympoventuriaceae,g:Sympoventuria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Sympoventuriaceae	No hit
OTU8374	SS|0.8000|HQ022098|SH1565808.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	No hit
OTU8375	GS|73.7|KP889365|SH1157012.08FU;k:Fungi,p:Neocallimastigomycota	k:Fungi,p:Neocallimastigomycota	No hit	No hit
OTU8376	SS|0.8700|KC965801|SH1243270.08FU;k:Fungi,p:Ascomycota	k:Fungi,p:Chytridiomycota,c:Chytridiomycetes,o:Chytridiales	k:Fungi,p:Ascomycota	No hit
OTU8377	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8378	GS|97.7|HE794050|SH1505418.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Gigasporales,f:Gigasporaceae,g:Scutellospora	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Gigasporales,f:Gigasporaceae,g:Scutellospora	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Gigasporales,f:Gigasporaceae,g:Scutellospora	No hit
OTU8379	GS|72.5|MW215985|SH1571563.08FU;k:Fungi	k:Fungi	No hit	No hit
OTU8380	SS|1.0000|JF519107|SH1546205.08FU;k:Fungi	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Trechisporales,f:Hydnodontaceae,g:Trechispora	k:Fungi	No hit
OTU8381	SS|0.8900|KF617768|SH1509523.08FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Phacidiales	k:Fungi,p:Ascomycota	No hit
OTU8382	GS|0.0|None;No hit	No hit	No hit	No hit
OTU8383	GS|77.0|UDB0720171|SH3216414.08FU;k:Fungi,p:Rozellomycota	k:Fungi,p:Rozellomycota	No hit	No hit
OTU8384	SS|0.9900|JQ247349|SH1517671.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Sphaerobolaceae,g:Sphaerobolus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Geastraceae,g:Nidulariopsis,s:Nidulariopsis iowensis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Sphaerobolaceae,g:Sphaerobolus	No hit
OTU8386	SS|0.9800|MT123895|SH1236559.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Leucoagaricus,s:Leucoagaricus croceovelutinus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae	No hit
OTU8387	SS|0.8200|MF577079|SH1504470.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius,s:Cortinarius minilacus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae,g:Cortinarius	No hit
